שנה ראשונה,מספר סעיף,שם הסעיף,הוצאה ברוטו,"מספרי סעיפים בשנה הקודמת, מופרדים בפסיקים"
2013,C0004530116,הוצאות מחשוב,17616,
2013,C0004530117,פעולות,6760,
2013,C0004530118,השתתפות במשרדי הממשלה,1060,
2013,C0004530119,השתתפות משרדי הממשלה,-22564,
2013,C0004530201,שיא כח אדם,814,
2013,C0004530202,עבודה בלתי צמיתה,3111,
2013,C0004530203,שעות נוספות,380,
2013,C0004530204,החזר הוצאות רכב,1289,
2013,C0004530205,שכר עידוד,463,
2013,C0004530206,כוננות,135,
2013,C0004530207,סוקרים לפי שעות,4932,
2013,C0004530210,הדרכה ושכר לימוד,125,
2013,C0004530211,הוצאות תפעול,959,
2013,C0004530212,הוצאות מחשוב,576,
2013,C0004530302,עבודה בלתי צמיתה,1492,
2013,C0004540101,שיא כח אדם,5442,
2013,C0004540102,עבודה בלתי צמיתה,13416,
2013,C0004540103,שעות נוספות,1022,
2013,C0004540104,כוננות,134,
2013,C0004540105,הוצאות פרישה,122,
2013,C0004540106,העסקת סטודנטים,248,
2013,C0004540107,החזר הוצאות רכב,1482,
2013,C0004540108,רכישת שירותי כח אדם,536,
2013,C0004540110,הוצאות תפעול,2746,
2013,C0004540111,הוצאות מחשוב,280,
2013,C0004540113,הדרכה ושכר לימוד,400,
2013,C0004540114,פעולות,2410,
2013,C0004540115,ברית מילה לעולים חדשים,3200,
2013,C0004540117,השתתפות בתהילה,110,
2013,C0004550101,שיא כח אדם,44040,
2013,C0004550102,עבודה בלתי צמיתה,25023,
2013,C0004550103,שעות נוספות,3874,
2013,C0004550104,כוננות,2604,
2013,C0004550106,החזר הוצאות רכב,9162,
2013,C0004550107,העסקת סטודנטים,1742,
2013,C0004550108,הוצאות פרישה,1176,
2013,C0004550110,הוצאות תפעול,10550,
2013,C0004550111,הוצאות מחשוב,6000,
2013,C0004550112,הדרכה ושכר לימוד,900,
2013,C0004550115,הדרכה בשירות המדינה,6520,
2013,C0004550118,דמי שימוש ממשלתיים,4822,
2013,C0004550119,השתתפות בפרויקט תהילה,592,
2013,C0004550124,רזרבה,10000,
2013,C0004550202,עבודה בלתי צמיתה,9716,
2013,C0004550203,שעות נוספות,1172,
2013,C0004550206,החזר הוצאות רכב,2000,
2013,C0004560101,עבודה בלתי צמיתה,39020,
2013,C0004560102,שעות נוספות,6698,
2013,C0004560103,החזר הוצאות רכב,8684,
2013,C0004560110,הוצאות תפעול,7082,
2013,C0004560111,הוצאות מחשוב,600,
2013,C0004560113,פעולות,44220,
2013,C0004560114,הדרכה ושכר לימוד,300,
2013,C0004590101,שיא כח אדם,26000,
2013,C0004590102,עבודה בלתי צמיתה,1800,
2013,C0004590103,שעות נוספות,320,
2013,C0004590104,כוננות,46,
2013,C0004590105,החזר הוצאות רכב,3200,
2013,C0004590106,העסקת סטודנטים,400,
2013,C0004590108,"שיא כ""א שליחים בחו""ל",27200,
2013,C0004590111,הדרכה ושכר לימוד,600,
2013,C0004590112,הוצאות תפעול,13078,
2013,C0004590114,"פעולות בחו""ל",31200,
2013,C0004590115,"תפעול בחו""ל",18150,
2013,C0004590116,הוצאות מחשוב,7400,
2013,C0004590119,השתתפות במשרדי הממשלה,1560,
2013,C0004610101,תשתיות התיישבות,4198,
2013,C0004610102,פעולות חברה וקליטה,10800,
2013,C0004610103,סיוע התיישבותי מותנה,1200,
2013,C0004610201,תשתיות התיישבות,7300,
2013,C0004610202,פעולות חברה וקליטה,4232,
2013,C0004610203,סיוע התיישבותי מותנה,2066,
2013,C0004610301,תשתיות התיישבות,1396,
2013,C0004610302,פעולות חברה וקליטה,806,
2013,C0004610303,סיוע התיישבותי מותנה,394,
2013,C0004610401,תשתיות התיישבות,10798,
2013,C0004610402,פעולות חברה וקליטה,3000,
2013,C0004610403,סיוע התיישבותי מותנה,2400,
2013,C0004610501,הוצאות שכר ורכב,45714,
2013,C0004610502,הוצאות תפעול,4016,
2013,C0004610503,תשתיות התיישבות,16996,
2013,C0004610506,פעולות חברה וקליטה,500,
2013,C0004610511,אכלוס,13530,
2013,C0004610514,השתתפות ממשרד השיכון,-18130,
2013,C0004610521,השתתפות במשרד האוצר,96,
2013,C0004610522,מחשוב,668,
2013,C0004610526,שכר דירה,3820,
2013,C0004610527,יועצים,576,
2013,C0004610530,ביקורת חשבונות ומאזן,40,
2013,C0004610532,תפעול חטיבת איכלוס,5000,
2013,C0004620101,השתתפות בתקציב הרגיל,364934,
2013,C0004620102,רזרבת שר,17662,
2013,C0004620103,שכר משרתים בקודש,128870,
2013,C0004620104,הדרכה במועצות הדתיות,1782,
2013,C0004620106,מיזמים במועצות הדתיות,8938,
2013,C0004620107,עירובין,4000,
2013,C0004620201,שירותי ייעוץ והפריה,800,
2013,C0004620203,העתקת בתי כנסת,1800,
2013,C0004620206,פיקוח ובקרה,7120,
2013,C0004620207,קשרים עם הגולה,600,
2013,C0004620303,פיתוח בתי עלמין,14000,
2013,C0004620306,מועצת בתי העלמין ברקת,2000,
2013,C0004620307,קבורה חילונית,600,
2013,C0004620308,תפעול ופיתוח קברי אבות,1000,
2013,C0004620311,קבורה רוויה,30000,
2013,C0004620312,השתתפות בלפמ,2,
2013,C0004620402,הקמת מוסדות דת שוטף,6400,
2013,C0004620501,שיא כח אדם,9390,
2013,C0004620502,עבודה בלתי צמיתה,20998,
2013,C0004620503,החזר הוצאות רכב,4046,
2013,C0004620504,שעות נוספות,1038,
2013,C0004620506,סטודנטים,550,
2013,C0004620603,תפעול,15234,
2013,C0004620604,יועצים,2900,
2013,C0004620605,רווחה והדרכה,1600,
2013,C0004620606,הוצאות מחשוב,4244,
2013,C0004620608,פסקי דין,480,
2013,C0004630101,שיא כוח אדם,2638,
2013,C0004630102,עבודה בלתי צמיתה,19114,
2013,C0004630103,שעות נוספות,660,
2013,C0004630104,החזר הוצאות רכב,2078,
2013,C0004630105,סטודנטים,312,
2013,C0004630106,מתמחים,428,
2013,C0004630201,תפעול,4934,
2013,C0004630204,יועצים,1940,
2013,C0004630205,הדרכה ורווחה,300,
2013,C0004630206,מחשוב,600,
2013,C0004630301,הרשות לפיתוח הנגב,16000,
2013,C0004630302,הרשות לפיתוח הגליל,16000,
2013,C0004630306,עלה נגב,4500,
2013,C0004630402,רזרבה להתייקרויות בשכר,2216,
2013,C0004640101,שיא כוח אדם,7794,
2013,C0004640102,עבודה בלתי צמיתה,18416,
2013,C0004640103,סטודנטים,214,
2013,C0004640104,כוננויות,124,
2013,C0004640105,שכר עידוד,666,
2013,C0004640106,אחזקת רכב,1964,
2013,C0004640107,שעות נוספות,1376,
2013,C0004640201,תפעול,10290,
2013,C0004700101,רזרבה להתיקרויות שכר,29622,
2013,C0004700110,רזרבה לפעולות בסעיף 04,373454,
2013,C0005510101,שיא כח אדם,34406,
2013,C0005510102,עבודה בלתי צמיתה,24036,
2013,C0005510103,שעות נוספות,5892,
2013,C0005510104,כוננות,2846,
2013,C0005510105,שכר עידוד,136,
2013,C0005510106,העסקת סטודנטים,1538,
2013,C0005510107,הוצאות פרישה,5744,
2013,C0005510108,החזר הוצאות רכב,49554,
2013,C0005510130,שיא כח אדם - גמלאות,5128,
2013,C0005510132,שעות נוספות - גמלאות,764,
2013,C0005510133,העסקת סטודנטים - גמלאות,718,
2013,C0005510134,כוננות - גמלאות,602,
2013,C0005510140,יעודה לכח אדם,24858,
2013,C0005510141,הוצאות תפעול,84060,
2013,C0005510142,הדרכה ושכר לימוד,5174,
2013,C0005510146,דמי שימוש ממשלתיים,12196,
2013,C0005510147,השתתפות משרדי הממשלה,-28720,
2013,C0005510150,הוצאות מחשוב,45947,
2013,C0005510170,פעולות,7274,
2013,C0005510175,רזרבה לפעולות המשרד,1136,
2013,C0005510180,רכישת שירותי כח אדם,338,
2013,C0005510201,שיא כח אדם,13762,
2013,C0005510202,עבודה בלתי צמיתה,8244,
2013,C0005510203,שעות נוספות,2782,
2013,C0005510204,העסקת סטודנטים,468,
2013,C0005510205,כוננות,122,
2013,C0005510210,פעולות,1164,
2013,C0005510401,שיא כח אדם,53748,
2013,C0005510402,עבודה בלתי צמיתה,26068,
2013,C0005510403,שעות נוספות,5300,
2013,C0005510404,כוננות,366,
2013,C0005510405,שכר עידוד,626,
2013,C0005510406,העסקת סטודנטים,1330,
2013,C0005510410,פעולות,6620,
2013,C0005510411,הוצאות גיוס הון וטיסות,378,
2013,C0005510414,ניהול נכסים פיננסיים,20626,
2013,C0005510421,ביקורת תמיכות מרכזיות,13546,
2013,C0005510422,פעולות החשב הכללי,7132,
2013,C0005510501,שיא כח אדם,19196,
2013,C0005510502,עבודה בלתי צמיתה,25108,
2013,C0005510503,שעות נוספות,3938,
2013,C0005510504,כוננות,318,
2013,C0005510505,העסקת סטודנטים,302,
2013,C0005510510,פעולות,17024,
2013,C0005510601,שיא כח אדם,8870,
2013,C0005510602,עבודה בלתי צמיתה,9710,
2013,C0005510603,שעות נוספות,1548,
2013,C0005510604,כוננות,452,
2013,C0005510605,העסקת סטודנטים,446,
2013,C0005510606,פעולות,5722,
2013,C0005510701,שיא כח אדם,15724,
2013,C0005510702,עבודה בלתי צמיתה,3964,
2013,C0005510703,שעות נוספות,890,
2013,C0005510704,כוננות,290,
2013,C0005510705,העסקת סטודנטים,856,
2013,C0005510710,פעולות,1736,
2013,C0005510711,דמי חבר ל OECD,18002,
2013,C0005510720,השתתפות במשרדי הממשלה,228,
2013,C0005510810,"תפעול הפעילות בחו""ל",782,
2013,C0005510811,"תפעול בחו""ל",698,
2013,C0005510816,הוצאות עבור משרדים,3100,
2013,C0005511002,"שיא כ""א - חטיבת התפעול",5366,
2013,C0005511004,סטודנטים,1214,
2013,C0005511005,כוננויות,878,
2013,C0005511006,החזר הוצאות רכב,2290,
2013,C0005511007,שעות נוספות,2230,
2013,C0005511103,הוצאות מחשוב,110,
2013,C0005511106,פעולות מנהל הרכש,8380,
2013,C0005511201,שיא כח אדם,6500,
2013,C0005511202,עבודה בלתי צמיתה,13204,
2013,C0005511203,שעות נוספות,1602,
2013,C0005511204,כוננות,380,
2013,C0005511205,העסקת סטודנטים,484,
2013,C0005511206,הוצאות פרישה,232,
2013,C0005511207,החזר הוצאות רכב,3126,
2013,C0005511210,הוצאות תפעול,6082,
2013,C0005511211,פעולות,4022,
2013,C0005511212,רכישת שירותי כח אדם,88,
2013,C0005511213,רכישת שירותים מקצועיים,4834,
2013,C0005511221,הוצאות מחשוב,296,
2013,C0005511232,"השתתפות בתהיל""ה",166,
2013,C0005511301,שיא כח אדם,6662,
2013,C0005511302,עבודה בלתי צמיתה,870,
2013,C0005511303,שעות נוספות,900,
2013,C0005511304,שכר עידוד,800,
2013,C0005511305,כוננות,214,
2013,C0005511306,העסקת סטודנטים,106,
2013,C0005511307,החזר הוצאות רכב,1556,
2013,C0005511308,הוצאות פרישה,306,
2013,C0005511310,הוצאות תפעול,27889,
2013,C0005511311,הדרכה ושכר לימוד,1438,
2013,C0005511315,רכישת כלי רכב,256320,
2013,C0005520111,כוננות - אגף מס הכנסה,19744,
2013,C0005520120,תפעול אגף מס הכנסה,111942,
2013,C0005520121,"תפעול אגף המכס והמע""מ",144370,
2013,C0005520122,פעולות אגף מס הכנסה,13432,
2013,C0005520123,"פעולות אגף המכס והמע""מ",80551,
2013,C0005520201,שיא כח אדם,82690,
2013,C0005520203,שעות נוספות,6966,
2013,C0005520204,שכר עידוד,12642,
2013,C0005520205,כוננות,21704,
2013,C0005520207,החזר הוצאות רכב,18298,
2013,C0005520210,הוצאות תפעול,16906,
2013,C0005520211,רכישת שירותי כח אדם,26262,
2013,C0005520212,מיכון,43468,
2013,C0005520214,הדרכה ושכר לימוד,2060,
2013,C0005520215,דמי שימוש ממשלתיים,5740,
2013,C0005520216,השתתפות במשרד האוצר,2964,
2013,C0005520219,השתתפות משרדי ממשלה,-3940,
2013,C0005530101,רזרבה להתיקרויות שכר,85834,
2013,C0006200101,שיא כוח אדם,36916,
2013,C0006200102,חודשי עבודה ארעית,15200,
2013,C0006200103,שעות נוספות,2906,
2013,C0006200104,הוצאות רכב,15856,
2013,C0006200105,כוננות,1224,
2013,C0006200106,שכר עידוד,2890,
2013,C0006200107,העסקת סטודנטים,138,
2013,C0006200108,הוצאות פרישה,5616,
2013,C0006200109,העסקת מתמחים,694,
2013,C0006200111,פעולות הנהלה,3662,
2013,C0006200112,הוצאות תפעול,47512,
2013,C0006200115,השתתפות ממשרד הרווחה,-900,
2013,C0006200116,השתתפות במנהל הרכב,2884,
2013,C0006200120,הדרכה ורווחה,4010,
2013,C0006200121,ביקורת כספים וחשבונות,198,
2013,C0006200122,הוצאות מחשוב,9462,
2013,C0006200125,"נסיעות לחו""ל",502,
2013,C0006200126,תשלום פסקי דין,1230,
2013,C0006200158,שיא כח אדם - כללי,1800,
2013,C0006210101,שיא כח אדם,1058,
2013,C0006210103,שעות נוספות,104,
2013,C0006210105,פעולות ורכישות לבחירות,10000,
2013,C0006210106,דיור ממשלתי דמי שימוש,652,
2013,C0006220101,שיא כח אדם - מטה,13268,
2013,C0006220105,הוצאות רכב,1810,
2013,C0006220106,שעות נוספות,726,
2013,C0006220110,אחזקה ותפעול,602,
2013,C0006220111,פעולות האגף,3926,
2013,C0006220112,תמיכות לדרוזים,6758,
2013,C0006220113,תמיכות לשומרונים,626,
2013,C0006220114,תמיכות ליהודים קראים,2566,
2013,C0006220115,ועדי נאמנים למוסלמים,1080,
2013,C0006220120,השתתפות במינהל הדיור,478,
2013,C0006220121,השתתפות במינהל הרכב,80,
2013,C0006220207,בתי עלמין ללא יהודים,2020,
2013,C0006230102,עובדים ארעיים,4360,
2013,C0006230103,הוצאות רכב,720,
2013,C0006230104,שעות נוספות,260,
2013,C0006230110,תפעול ואחזקה,2902,
2013,C0006230112,הוצאות מחשוב ותקשורת,9972,
2013,C0006230113,"הדרכה, השתלמויות ורווחה",120,
2013,C0006230115,השתתפות במנהל הרכב,126,
2013,C0006290101,רזרבה להתייקרויות שכר,6688,
2013,C0006300101,שיא כח אדם,47348,
2013,C0006300102,עבודה בלתי צמיתה,38142,
2013,C0006300103,העסקת סטודנטים,420,
2013,C0006300104,החזר הוצאות רכב,15960,
2013,C0006300105,שעות נוספות,5458,
2013,C0006300106,הוצאות פרישה,734,
2013,C0006300107,שכר עידוד,6440,
2013,C0006300202,יועצי תשתיות,29272,
2013,C0006300207,הוצאות תפעול,8000,
2013,C0006300208,הוצאות מחשוב,4000,
2013,C0006300209,הדרכה ושכר לימוד,500,
2013,C0006300223,סקרי תכנון,500,
2013,C0006300225,שירותי תכנון,4800,
2013,C0006300302,תכנון מתארי ארצי,3400,
2013,C0006300303,תכנון מתארי מקומי,13600,
2013,C0006300304,תכנון מתארי- מיעוטים,2000,
2013,C0006300401,רזרבה להתייקרויות שכר,3688,
2013,C0006310101,שיא כח אדם,7956,
2013,C0006310102,מפקחים במחוזות,15706,
2013,C0006310103,שעות נוספות,2850,
2013,C0006310104,הוצאות פרישה,80,
2013,C0006310201,ייעוץ וייצוג משפטי,728,
2013,C0006310202,הוצאות תפעול,4700,
2013,C0006310203,הריסות,2578,
2013,C0006310204,השתתפות באוצר - רכב,6926,
2013,C0006310205,הוצאות מחשוב,600,
2013,C0006310299,רזרבה לפיקוח על הבנייה,400,
2013,C0006310301,רזרבה להתייקרויות שכר,820,
2013,C0007500101,שיא כוח אדם,93814,
2013,C0007500102,"גילום מס על אש""ל",430,
2013,C0007500103,עבודה בלתי צמיתה,14314,
2013,C0007500104,כוננויות,694,
2013,C0007500105,החזר הוצאות רכב,13508,
2013,C0007500106,שעות נוספות,2320,
2013,C0007500107,הוצאות פרישה,1426,
2013,C0007500109,העסקת סטודנטים לפי שעות,218,
2013,C0007500110,הדרכה,160,
2013,C0007500111,שירות אזרחי ולאומי,40274,
2013,C0007500113,בנות בשירות לאומי,642,
2013,C0007500114,מתמחי ייעוץ משפטי,326,
2013,C0007500116,שכר עידוד,1082,
2013,C0007500201,השתתפות משרדי ממשלה,-4000,
2013,C0007500204,השתתפות במשרדי ממשלה,14158,
2013,C0007500206,תפעול,83988,
2013,C0007500214,יועצים - מרכז הדרכה,14258,
2013,C0007500215,פרוייקט עיר ללא אלימות,121830,
2013,C0007500217,השתתפות באוצר - מיכון,562,
2013,C0007500218,שכר דירה,2114,
2013,C0007500221,תוכנית שמידט,4000,
2013,C0007500222,מצילה - תפעול והוצאות,17404,
2013,C0007500301,רזרבה להתייקרות בשכר,6156,
2013,C0007550101,שיא כוח אדם,40136,
2013,C0007550102,העסקה לפי שעות,12336,
2013,C0007550103,שעות נוספות,4112,
2013,C0007550104,החזר הוצאות רכב,3700,
2013,C0007550105,כוננויות,308,
2013,C0007550106,הוצאות פרישה,206,
2013,C0007550110,רזרבה להתייקרויות בשכר,1914,
2013,C0007550202,תפעול,38558,
2013,C0007550206,רזרבה להתייקרות,2142,
2013,C0007600102,עובדים בלתי צמיתים,2878,
2013,C0007600103,העסקת סטודנטים,1028,
2013,C0007600104,החזר הוצאות רכב,71960,
2013,C0007600105,שעות נוספות,133640,
2013,C0007600107,כוננויות,102,
2013,C0007600108,שירות לאומי אזרחי,2056,
2013,C0007600109,גילום מס על אשל,2056,
2013,C0007600111,הוצאות פרישה,5140,
2013,C0007600201,אחזקת הנציבות ותפעולה,38000,
2013,C0007600202,"רכש, הצטיידות ואחזקה",36948,
2013,C0007600203,תכנון ובינוי תשתיות,58000,
2013,C0007600204,תפעול בית ספר לכבאות,16000,
2013,C0007600206,השתתפות במנהל הרכב,61064,
2013,C0007600230,מחוז צפון,16500,
2013,C0007600231,מחוז חוף,10700,
2013,C0007600232,מחוז מרכז,15200,
2013,C0007600233,מחוז דן,16700,
2013,C0007600234,מחוז ירושלים,9600,
2013,C0007600235,מחוז דרום,14700,
2013,C0007600236,מחוז שומרון ויהודה,5900,
2013,C0007600301,רזרבה להתייקרויות בשכר,24480,
2013,C0007700101,סוהרים,2505298,
2013,C0007700102,קבע ראשוני,542038,
2013,C0007700103,הוצאות פרישה,22656,
2013,C0007700105,סוהרים בשירות חובה,19532,
2013,C0007700106,השתתפות משרד הביטחון,-4000,
2013,C0007700107,שירות לאומי ואזרחי,548,
2013,C0007700110,החזר הוצאות רכב,102,
2013,C0007700112,בנות בשירות לאומי,3700,
2013,C0007700201,תפעול ותכנון,33726,
2013,C0007700202,אחזקת הבית,225816,
2013,C0007700203,טכנולוגיה ותקשורת,127766,
2013,C0007700205,תחבורה,118512,
2013,C0007700207,הוצאות משפטיות,4000,
2013,C0007700208,"נסיעות לחו""ל",2060,
2013,C0007700209,קרן שירות בתי הסוהר,47,
2013,C0007700210,השתתפות משרדי ממשלה,-600,
2013,C0007700211,השתתפות במשרדי ממשלה,4400,
2013,C0007700212,מחוז צפון,5700,
2013,C0007700213,מחוז מרכז,8852,
2013,C0007700214,מחוז דרום,7582,
2013,C0007700218,ביטחון ומודיעין,27156,
2013,C0007700219,תעסוקה,93586,
2013,C0007700222,"מש""א",124522,
2013,C0007700223,לוגיסטיקה,294370,
2013,C0007700224,הדרכה,26940,
2013,C0007700226,מרכזי מכר,122000,
2013,C0007700228,רווחי מרכזי מכר,9300,
2013,C0007700229,תקון,141070,
2013,C0007700231,פיקוח אלקטרוני,51456,
2013,C0007700301,גמלאות,623564,
2013,C0007700303,מענקי פרישה,53680,
2013,C0007700304,תשלומי היוון,12336,
2013,C0007700305,מיכון משכורות גמלאות,1850,
2013,C0007700401,רזרבה להתייקרויות בשכר,97564,
2013,C0007800101,שוטרי קבע,7682538,
2013,C0007800102,קבע ראשוני,1238694,
2013,C0007800103,"שוטרים עב""צ",93152,
2013,C0007800104,שירות לאומי ואזרחי,2662,
2013,C0007800105,שירות לאומי,8398,
2013,C0007800107,הוצאות פרישה,204934,
2013,C0007800108,השתתפויות בתקציב,-26780,
2013,C0007800111,איוש לא לביצוע,2,
2013,C0007800112,יעודה לגיוס עתידי,99964,
2013,C0007800113,העסקת שוטרים בשכר,118581,
2013,C0007800115,שוטרים חובה,92520,
2013,C0007800201,תפעול,78584,
2013,C0007800202,מדים וציוד אישי,112280,
2013,C0007800203,שכר דירה,120430,
2013,C0007800204,הסעדה,241061,
2013,C0007800208,דמי שימוש בנכסי המדינה,45152,
2013,C0007800209,אחזקות הבית,406866,
2013,C0007800211,טפסים ציוד משרדי ומשקי,30220,
2013,C0007800213,תפעול כלי רכב,523282,
2013,C0007800215,פרוייקט מתנדבי תנועה,11950,
2013,C0007800216,תכנית משק סגור,6000,
2013,C0007800218,תמונת ראי,3598,
2013,C0007800220,הכנסות ממשרדי ממשלה,-33962,
2013,C0007800223,נסיעות,65198,
2013,C0007800225,הדרכה ותרבות,159114,
2013,C0007800227,קניות אחר,107346,
2013,C0007800230,רכש לגורמי ביטחון,22818,
2013,C0007800234,הוצאות קרן המשטרה,1600,
2013,C0007800236,קרן המפקח הכללי,1200,
2013,C0007800237,השתתפות במשרדי ממשלה,2920,
2013,C0007800303,רכישת שירותי כוח אדם,186568,
2013,C0007800305,עובדים לבינוי,14462,
2013,C0007800401,"שוטרי קבע - הוצל""פ",25000,
2013,C0007800404,שוטרי קבע - רכבת קלה,23644,
2013,C0007800408,שוטרי קבע - משרדי ממשלה,14346,
2013,C0007800410,שוטרי קבע - ביטוח לאומי,3209,
2013,C0007800412,"שירות לאומי - הוצל""פ",325,
2013,C0007800414,שוטרי חובה - רפאל,143,
2013,C0007800420,אמרכלות,82751,
2013,C0007800422,השתתפויות בתקציב,-20450,
2013,C0007800426,"שוטרי קבע - מתפ""א",20740,
2013,C0007800427,"שוטרי קבע - אתג""ר",5600,
2013,C0007800501,שוטרים,17600,
2013,C0007800502,אמרכלות,7500,
2013,C0007800601,בלאי כלי רכב,446690,
2013,C0007800606,קרן דיגומים,15000,
2013,C0007800702,רזרבה להתייקרויות בשכר,303574,
2013,C0007800801,תשלומי גמלאות,3939548,
2013,C0007800802,מענקי פרישה,231914,
2013,C0007800805,הפרשה לפנסיה ופיצויים,6470,
2013,C0008510101,שיא כח אדם,82612,
2013,C0008510102,עבודה בלתי צמיתה,54938,
2013,C0008510103,שעות נוספות,122412,
2013,C0008510104,החזר הוצאות רכב,131064,
2013,C0008510105,כוננות,16264,
2013,C0008510106,שכר עידוד,41052,
2013,C0008510107,הוצאות פרישה,1384,
2013,C0008510108,העסקת סטודנטים,12220,
2013,C0008510113,פעולות,15882,
2013,C0008510115,הוצאות תפעול,139130,
2013,C0008510121,הדרכה ושכר לימוד,9686,
2013,C0008510122,דמי שימוש ממשלתיים,17760,
2013,C0008510123,קרן לתובענות ייצוגיות,2462,
2013,C0008510124,בטחון ובטיחות,24200,
2013,C0008510126,שירות לאומי,3640,
2013,C0008510129,העברת יחידות לדיור חדש,21184,
2013,C0008510130,השתתפות במשרדי הממשלה,5194,
2013,C0008510131,הוצאות מחשוב,124790,
2013,C0008510132,מתמחים,59860,
2013,C0008510201,שיא כח אדם,39930,
2013,C0008510202,עבודה בלתי צמיתה,38832,
2013,C0008510203,דייני בית הדין למשמורת,5846,
2013,C0008510301,שיא כח אדם,301926,
2013,C0008510302,עבודה בלתי צמיתה,80215,
2013,C0008510303,כוננות,43390,
2013,C0008510304,שעות נוספות,183,
2013,C0008510305,החזר הוצאות רכב,667,
2013,C0008510307,ניהול משפטים ותשלומים,8492,
2013,C0008510310,השתתפות במשרדי הממשלה,1418,
2013,C0008510401,עבודה בלתי צמיתה,29858,
2013,C0008510402,שיא כח אדם,24800,
2013,C0008510403,תשלום לעורכי דין ממונים,272000,
2013,C0008510404,כוננות,2940,
2013,C0008510406,מתמחים,5340,
2013,C0008510501,שיא כח אדם,18302,
2013,C0008510502,עבודה בלתי צמיתה,10492,
2013,C0008510503,תשלום לעורכי דין,119500,
2013,C0008510506,השתתפות משרדי הממשלה,-1000,
2013,C0008510601,שיא כח אדם,1410,
2013,C0008510602,עבודה בלתי צמיתה,7628,
2013,C0008510603,הוצאות תפעול,3800,
2013,C0008510701,שיא כח אדם,9114,
2013,C0008510702,עבודה בלתי צמיתה,5392,
2013,C0008510703,כוננות,530,
2013,C0008510704,הוצאות מחשוב,11000,
2013,C0008510801,שיא כח אדם,1386,
2013,C0008510802,עבודה בלתי צמיתה,3546,
2013,C0008510803,שעות נוספות,1052,
2013,C0008510804,הוצאות תפעול,856,
2013,C0008510805,מתמחים,312,
2013,C0008510901,שיא כח אדם,1872,
2013,C0008510902,עבודה בלתי צמיתה,1400,
2013,C0008510903,כוננות,1820,
2013,C0008510904,הוצאות תפעול,30228,
2013,C0008511001,שיא כח אדם,54936,
2013,C0008511002,עבודה בלתי צמיתה,6148,
2013,C0008511003,שעות נוספות,103,
2013,C0008511004,החזר הוצאות רכב,321,
2013,C0008511005,הוצאות פרישה,420,
2013,C0008511006,שכר דירה,10588,
2013,C0008511007,הוצאות תפעול,501,
2013,C0008511008,הוצאות מחשוב,31940,
2013,C0008511101,שיא כח אדם,12946,
2013,C0008511102,עבודה בלתי צמיתה,7575,
2013,C0008511104,הוצאות תפעול,24500,
2013,C0008511105,שכר דירה,5500,
2013,C0008511201,שיא כח אדם,57955,
2013,C0008511202,עבודה בלתי צמיתה,10761,
2013,C0008511203,שעות נוספות,1634,
2013,C0008511204,כוננות,2460,
2013,C0008511205,החזר הוצאות רכב,3900,
2013,C0008511206,שכר דירה,6000,
2013,C0008511207,פעולות,36293,
2013,C0008511213,הוצאות מחשוב,15000,
2013,C0008511301,שיא כח אדם,9323,
2013,C0008511302,עבודה בלתי צמיתה,2207,
2013,C0008511303,שכר עידוד,825,
2013,C0008511304,פעולות,6000,
2013,C0008511401,שיא כח אדם,16123,
2013,C0008511402,עבודה בלתי צמיתה,3229,
2013,C0008511403,כוננות,12,
2013,C0008511404,העסקת סטודנטים,1200,
2013,C0008511406,הוצאות תפעול,27400,
2013,C0008511407,הוצאות מחשוב,40000,
2013,C0008511408,שכר דירה,3536,
2013,C0008511501,שיא כח אדם,7646,
2013,C0008511502,עבודה בלתי צמיתה,5340,
2013,C0008511503,כוננות,1586,
2013,C0008511504,הוצאות תפעול,5268,
2013,C0008511601,שיא כח אדם,2510,
2013,C0008511602,עבודה בלתי צמיתה,7876,
2013,C0008511603,הדרכה ושכר לימוד,162,
2013,C0008511604,הוצאות מחשוב,194,
2013,C0008511606,הוצאות תפעול,4900,
2013,C0008511607,פעולות,1646,
2013,C0008511702,הוצאות והחזר פקדונות,450,
2013,C0008511704,הוצאות החזר ריבית,50,
2013,C0008520201,שיא כח אדם,26930,
2013,C0008520202,עבודה בלתי צמיתה,6388,
2013,C0008520203,הוצאות מחשוב,800,
2013,C0008520204,הוצאות תפעול,1150,
2013,C0008520206,שכר דירה,1500,
2013,C0008520301,שיא כח אדם,9164,
2013,C0008520302,עבודה בלתי צמיתה,100,
2013,C0008520303,הוצאות מחשוב,450,
2013,C0008520304,הוצאות תפעול,950,
2013,C0008520306,שכר דירה,500,
2013,C0008530101,שיא כח אדם,190436,
2013,C0008530102,עבודה בלתי צמיתה,11880,
2013,C0008530103,שעות נוספות,3188,
2013,C0008530104,כוננות,634,
2013,C0008530105,שכר עידוד,4046,
2013,C0008530106,החזר הוצאות רכב,8720,
2013,C0008530107,הוצאות פרישה,4194,
2013,C0008530111,הוצאות תפעול,36444,
2013,C0008530112,דמי שימוש ממשלתיים,2478,
2013,C0008530114,הדרכה ושכר לימוד,1000,
2013,C0008530115,פעולות,700,
2013,C0008530116,השתתפות במשרדי הממשלה,406,
2013,C0008530117,שיפוץ בתי הדין,4700,
2013,C0008530118,הוצאות מחשוב,3566,
2013,C0008540101,שיא כח אדם,743326,
2013,C0008540102,עבודה בלתי צמיתה,325423,
2013,C0008540103,שעות נוספות,20468,
2013,C0008540104,שכר עידוד,75538,
